Directory, Test Result, NPU Execution Time
gemm_bf16_256x256x256_2x2, "TEST PASSED", "NPU execution time: 0.000208797s"
gemm_bf16_256x256x256_2x4, "TEST PASSED", "NPU execution time: 0.000176846s"
gemm_bf16_256x256x256_4x4, "TEST PASSED", "NPU execution time: 0.000159122s"
gemm_bf16_512x512x512_2x2, "TEST PASSED", "NPU execution time: 0.000628591s"
gemm_bf16_512x512x512_2x4, "TEST PASSED", "NPU execution time: 0.000423589s"
gemm_bf16_512x512x512_4x4, "TEST PASSED", "NPU execution time: 0.000306875s"
gemm_bf16_1024x1024x1024_2x2, "TEST PASSED", "NPU execution time: 0.00351794s"
gemm_bf16_1024x1024x1024_2x4, "TEST PASSED", "NPU execution time: 0.00194475s"
gemm_bf16_1024x1024x1024_4x4, "TEST PASSED", "NPU execution time: 0.00127598s"
gemm_bf16_2048x2048x2048_2x2, "TEST PASSED", "NPU execution time: 0.0260325s"
gemm_bf16_2048x2048x2048_2x4, "TEST PASSED", "NPU execution time: 0.013723s"
gemm_bf16_2048x2048x2048_4x4, "TEST PASSED", "NPU execution time: 0.00916158s"
gemm_bf16_4096x4096x4096_2x2, "TEST PASSED", "NPU execution time: 0.202s"
gemm_bf16_4096x4096x4096_2x4, "TEST PASSED", "NPU execution time: 0.105225s"
gemm_bf16_4096x4096x4096_4x4, "TEST PASSED", "NPU execution time: 0.0681042s"
