Directory, Test Result, NPU Execution Time
gemm_i8_256x256x256_2x2, "TEST PASSED", "NPU execution time: 0.00017399s"
gemm_i8_256x256x256_2x4, "TEST PASSED", "NPU execution time: 0.00015524s"
gemm_i8_256x256x256_4x4, "TEST PASSED", "NPU execution time: 0.000148861s"
gemm_i8_512x512x512_2x2, "TEST PASSED", "NPU execution time: 0.000400695s"
gemm_i8_512x512x512_2x4, "TEST PASSED", "NPU execution time: 0.000313782s"
gemm_i8_512x512x512_4x4, "TEST PASSED", "NPU execution time: 0.000219732s"
gemm_i8_1024x1024x1024_2x2, "TEST PASSED", "NPU execution time: 0.00197503s"
gemm_i8_1024x1024x1024_2x4, "TEST PASSED", "NPU execution time: 0.00114391s"
gemm_i8_1024x1024x1024_4x4, "TEST PASSED", "NPU execution time: 0.000732857s"
gemm_i8_2048x2048x2048_2x2, "TEST PASSED", "NPU execution time: 0.0147786s"
gemm_i8_2048x2048x2048_2x4, "TEST PASSED", "NPU execution time: 0.00809259s"
gemm_i8_2048x2048x2048_4x4, "TEST PASSED", "NPU execution time: 0.00519438s"
gemm_i8_4096x4096x4096_2x2, "TEST PASSED", "NPU execution time: 0.174593s"
gemm_i8_4096x4096x4096_2x4, "TEST PASSED", "NPU execution time: 0.0900221s"
gemm_i8_4096x4096x4096_4x4, "TEST PASSED", "NPU execution time: 0.059013s"
